"participant_ID","target_y","validity","trial","phase","response","rt"
"P126",10,"catch",0,"inhale","incorrect",0.334309500060044
"P126",10,"catch",1,"inhale","incorrect",0.346773200086318
"P126",0.31,"invalid",2,"inhale","correct",0.392384400009178
"P126",0.31,"invalid",3,"inhale","correct",0.308843799983151
"P126",-0.31,"valid",4,"inhale","correct",0.38624769996386
"P126",-0.31,"invalid",5,"inhale","correct",0.360378899960779
"P126",0.31,"valid",6,"inhale","correct",0.318023100029677
"P126",-0.31,"invalid",7,"inhale","correct",0.319310100050643
"P126",-0.31,"valid",8,"inhale","correct",0.314211599994451
"P126",-0.31,"invalid",9,"inhale","correct",0.352756700012833
"P126",0.31,"invalid",10,"inhale","correct",0.301107999985106
"P126",-0.31,"invalid",11,"inhale","correct",0.33759619994089
"P126",0.31,"valid",12,"inhale","correct",0.345948799978942
"P126",10,"catch",13,"inhale","correct",NA
"P126",-0.31,"invalid",14,"inhale","correct",0.384720199974254
"P126",-0.31,"valid",15,"inhale","correct",0.3467934000073
"P126",10,"catch",16,"inhale","correct",NA
"P126",10,"catch",17,"inhale","correct",NA
"P126",0.31,"invalid",18,"inhale","correct",0.368833100073971
"P126",10,"catch",19,"inhale","correct",NA
"P126",0.31,"invalid",20,"inhale","correct",0.369097199989483
"P126",-0.31,"valid",21,"inhale","correct",0.366717600030825
"P126",0.31,"valid",22,"inhale","correct",0.405422099982388
"P126",-0.31,"invalid",23,"inhale","correct",0.410376899992116
"P126",0.31,"valid",24,"inhale","correct",0.358426499995403
"P126",-0.31,"invalid",25,"inhale","correct",0.348698399960995
"P126",-0.31,"valid",26,"inhale","correct",0.342653800034896
"P126",0.31,"valid",27,"inhale","correct",0.356655199895613
"P126",10,"catch",28,"inhale","correct",NA
"P126",0.31,"valid",29,"inhale","correct",0.330546500044875
"P126",0.31,"valid",30,"inhale","correct",0.356859699939378
"P126",-0.31,"valid",31,"inhale","correct",0.36472899990622
"P126",0.31,"valid",32,"inhale","correct",0.29387339996174
"P126",-0.31,"invalid",33,"inhale","correct",0.318573499913327
"P126",10,"catch",34,"inhale","correct",NA
"P126",0.31,"valid",35,"inhale","correct",0.370638799970038
"P126",-0.31,"invalid",36,"inhale","correct",0.43413219996728
"P126",0.31,"invalid",37,"inhale","correct",0.592924700002186
"P126",0.31,"invalid",38,"inhale","correct",0.553010200033896
"P126",0.31,"valid",39,"inhale","correct",0.333258399972692
"P126",0.31,"invalid",40,"inhale","correct",0.315494900103658
"P126",10,"catch",41,"inhale","correct",NA
"P126",-0.31,"valid",42,"inhale","correct",0.364468800020404
"P126",10,"catch",43,"inhale","correct",NA
"P126",0.31,"invalid",44,"inhale","correct",0.404682800057344
"P126",0.31,"invalid",45,"inhale","correct",0.390912800095975
