"participant_ID","target_y","validity","trial","phase","response","rt"
"P121",10,"catch",0,"inhale","correct",NA
"P121",10,"catch",1,"inhale","correct",NA
"P121",0.31,"invalid",2,"inhale","correct",0.357569799991325
"P121",0.31,"invalid",3,"inhale","correct",0.385407599969767
"P121",-0.31,"valid",4,"inhale","correct",0.401383299962617
"P121",-0.31,"invalid",5,"inhale","correct",0.256174899986945
"P121",0.31,"valid",6,"inhale","correct",0.365280099969823
"P121",-0.31,"invalid",7,"inhale","correct",0.653690700011794
"P121",-0.31,"valid",8,"inhale","correct",0.355481400038116
"P121",-0.31,"invalid",9,"inhale","correct",0.464351400034502
"P121",0.31,"invalid",10,"inhale","correct",0.430663999984972
"P121",-0.31,"invalid",11,"inhale","correct",0.417819899972528
"P121",0.31,"valid",12,"inhale","correct",0.357500199985225
"P121",10,"catch",13,"inhale","correct",NA
"P121",-0.31,"invalid",14,"inhale","correct",0.406820299976971
"P121",-0.31,"valid",15,"inhale","correct",0.440087099967059
"P121",10,"catch",16,"inhale","correct",NA
"P121",10,"catch",17,"inhale","correct",NA
"P121",0.31,"invalid",18,"inhale","correct",0.414456999977119
"P121",10,"catch",19,"inhale","correct",NA
"P121",0.31,"invalid",20,"inhale","correct",0.464422199991532
"P121",-0.31,"valid",21,"inhale","correct",0.501466699992307
"P121",0.31,"valid",22,"inhale","correct",0.389855399960652
"P121",-0.31,"invalid",23,"inhale","correct",0.400816100009251
"P121",0.31,"valid",24,"inhale","correct",0.378834099974483
"P121",-0.31,"invalid",25,"inhale","correct",0.402442899998277
"P121",-0.31,"valid",26,"inhale","correct",0.430385400017258
"P121",0.31,"valid",27,"inhale","correct",0.385377899976447
"P121",10,"catch",28,"inhale","correct",NA
"P121",0.31,"valid",29,"inhale","correct",0.403200300002936
"P121",0.31,"valid",30,"inhale","correct",0.354865500004962
"P121",-0.31,"valid",31,"inhale","correct",0.352409999992233
"P121",0.31,"valid",32,"inhale","correct",0.335550000017975
"P121",-0.31,"invalid",33,"inhale","correct",0.3912668999983
"P121",10,"catch",34,"inhale","correct",NA
"P121",0.31,"valid",35,"inhale","correct",0.352675400034059
"P121",-0.31,"invalid",36,"inhale","correct",0.419966400018893
"P121",0.31,"invalid",37,"inhale","correct",0.300905300013255
"P121",0.31,"invalid",38,"inhale","correct",0.361729900003411
"P121",0.31,"valid",39,"inhale","correct",0.399121600028593
"P121",0.31,"invalid",40,"inhale","correct",0.471839800011367
"P121",10,"catch",41,"inhale","correct",NA
"P121",-0.31,"valid",42,"inhale","correct",0.537630500039086
"P121",10,"catch",43,"inhale","correct",NA
"P121",0.31,"invalid",44,"inhale","correct",0.386173499980941
"P121",0.31,"invalid",45,"inhale","correct",0.414838899974711
"P121",0.31,"valid",46,"inhale","correct",0.449299899977632
"P121",-0.31,"valid",47,"inhale","correct",0.384074400004465
"P121",-0.31,"invalid",48,"inhale","correct",0.410506999993231
"P121",10,"catch",49,"inhale","correct",NA
"P121",-0.31,"valid",50,"inhale","correct",0.381189499981701
"P121",-0.31,"valid",51,"inhale","correct",0.406358500011265
"P121",-0.31,"invalid",52,"inhale","correct",0.341774100030307
"P121",-0.31,"valid",53,"inhale","correct",0.462272600037977
"P121",10,"catch",54,"inhale","correct",NA
"P121",0.31,"invalid",55,"inhale","correct",0.353670299984515
"P121",-0.31,"valid",56,"inhale","correct",0.581204799993429
"P121",0.31,"valid",57,"inhale","correct",0.433202299987897
"P121",-0.31,"invalid",58,"inhale","correct",0.629363899992313
"P121",0.31,"invalid",59,"inhale","correct",0.430198400048539
"P121",10,"catch",0,"exhale","correct",NA
"P121",10,"catch",1,"exhale","correct",NA
"P121",0.31,"invalid",2,"exhale","correct",0.395516799995676
"P121",0.31,"invalid",3,"exhale","correct",0.626312200038228
"P121",-0.31,"valid",4,"exhale","correct",0.404447200009599
"P121",-0.31,"invalid",5,"exhale","correct",0.387234600028023
"P121",0.31,"valid",6,"exhale","correct",0.376076499989722
"P121",-0.31,"invalid",7,"exhale","correct",0.336443100008182
"P121",-0.31,"valid",8,"exhale","correct",0.418816799996421
"P121",-0.31,"invalid",9,"exhale","correct",0.601939200016204
"P121",0.31,"invalid",10,"exhale","correct",0.518567799997982
"P121",-0.31,"invalid",11,"exhale","correct",0.479303899977822
"P121",0.31,"valid",12,"exhale","correct",0.368725000007544
"P121",10,"catch",13,"exhale","correct",NA
"P121",-0.31,"invalid",14,"exhale","correct",0.44790849997662
"P121",-0.31,"valid",15,"exhale","correct",0.427793500013649
"P121",10,"catch",16,"exhale","incorrect",0.327261099999305
"P121",10,"catch",17,"exhale","correct",NA
"P121",0.31,"invalid",18,"exhale","correct",0.579994699975941
"P121",10,"catch",19,"exhale","correct",NA
"P121",0.31,"invalid",20,"exhale","correct",0.487963899970055
"P121",-0.31,"valid",21,"exhale","correct",0.505814199976157
"P121",0.31,"valid",22,"exhale","correct",0.4971733999555
"P121",-0.31,"invalid",23,"exhale","correct",0.443305999971926
"P121",0.31,"valid",24,"exhale","correct",0.551057700009551
"P121",-0.31,"invalid",25,"exhale","correct",0.496697099995799
"P121",-0.31,"valid",26,"exhale","correct",0.600188700016588
"P121",0.31,"valid",27,"exhale","correct",0.327766800008249
"P121",10,"catch",28,"exhale","correct",NA
"P121",0.31,"valid",29,"exhale","correct",0.428499800036661
"P121",0.31,"valid",30,"exhale","correct",0.302604599972256
"P121",-0.31,"valid",31,"exhale","correct",0.547289499954786
"P121",0.31,"valid",32,"exhale","correct",0.323359000030905
"P121",-0.31,"invalid",33,"exhale","correct",0.503601100004744
"P121",10,"catch",34,"exhale","correct",NA
"P121",0.31,"valid",35,"exhale","correct",0.627414899994619
"P121",-0.31,"invalid",36,"exhale","correct",0.457382799999323
