"participant_ID","target_y","validity","trial","phase","response","rt"
"P147",10,"catch",0,"exhale","correct",NA
"P147",10,"catch",1,"exhale","correct",NA
"P147",0.31,"invalid",2,"exhale","correct",0.41135409999697
"P147",0.31,"invalid",3,"exhale","correct",0.556814200012013
"P147",-0.31,"valid",4,"exhale","correct",0.574591700002202
"P147",-0.31,"invalid",5,"exhale","correct",0.464248299991596
"P147",0.31,"valid",6,"exhale","correct",0.536798999994062
"P147",-0.31,"invalid",7,"exhale","correct",0.766640200003167
"P147",-0.31,"valid",8,"exhale","correct",0.663257499996689
"P147",-0.31,"invalid",9,"exhale","correct",0.5192495000083
"P147",0.31,"invalid",10,"exhale","correct",0.462726499987184
"P147",-0.31,"invalid",11,"exhale","correct",0.474900899993372
"P147",0.31,"valid",12,"exhale","correct",0.457608500000788
"P147",10,"catch",13,"exhale","correct",NA
"P147",-0.31,"invalid",14,"exhale","correct",0.511754899998778
"P147",-0.31,"valid",15,"exhale","correct",0.462750799997593
"P147",10,"catch",16,"exhale","correct",NA
"P147",10,"catch",17,"exhale","correct",NA
"P147",0.31,"invalid",18,"exhale","correct",0.405470099998638
"P147",10,"catch",19,"exhale","correct",NA
"P147",0.31,"invalid",20,"exhale","correct",1.4321620999981
"P147",-0.31,"valid",21,"exhale","correct",0.404462999998941
"P147",0.31,"valid",22,"exhale","correct",0.621069799992256
"P147",-0.31,"invalid",23,"exhale","correct",0.444703499990283
"P147",0.31,"valid",24,"exhale","correct",0.501142699999036
"P147",-0.31,"invalid",25,"exhale","correct",0.51201079999737
"P147",-0.31,"valid",26,"exhale","correct",0.435888499996508
"P147",0.31,"valid",27,"exhale","correct",0.339397100004135
"P147",10,"catch",28,"exhale","correct",NA
"P147",0.31,"valid",29,"exhale","correct",0.612609300005715
"P147",0.31,"valid",30,"exhale","correct",0.510545699988143
"P147",-0.31,"valid",31,"exhale","correct",0.47333079999953
"P147",0.31,"valid",32,"exhale","correct",0.533740700004273
"P147",-0.31,"invalid",33,"exhale","correct",0.532055300005595
"P147",10,"catch",34,"exhale","correct",NA
"P147",0.31,"valid",35,"exhale","correct",0.483196100001805
"P147",-0.31,"invalid",36,"exhale","correct",0.517148700004327
"P147",0.31,"invalid",37,"exhale","correct",0.54759479999484
"P147",0.31,"invalid",38,"exhale","correct",0.438958899991121
"P147",0.31,"valid",39,"exhale","correct",0.45419010000478
"P147",0.31,"invalid",40,"exhale","correct",0.402022199996281
"P147",10,"catch",41,"exhale","correct",NA
"P147",-0.31,"valid",42,"exhale","correct",0.519129200009047
"P147",10,"catch",43,"exhale","correct",NA
"P147",0.31,"invalid",44,"exhale","correct",0.632988400000613
"P147",0.31,"invalid",45,"exhale","correct",0.441703700009384
"P147",0.31,"valid",46,"exhale","correct",0.45798300000024
"P147",-0.31,"valid",47,"exhale","correct",0.558140499997535
"P147",-0.31,"invalid",48,"exhale","correct",0.390115200003493
"P147",10,"catch",49,"exhale","incorrect",0.528312799986452
"P147",-0.31,"valid",50,"exhale","correct",0.512458400000469
"P147",-0.31,"valid",51,"exhale","correct",0.303274300007615
"P147",-0.31,"invalid",52,"exhale","correct",0.341844199996558
"P147",-0.31,"valid",53,"exhale","correct",0.404125500004739
"P147",10,"catch",54,"exhale","correct",NA
"P147",0.31,"invalid",55,"exhale","correct",0.531891000005999
"P147",-0.31,"valid",56,"exhale","correct",0.417995399999199
"P147",0.31,"valid",57,"exhale","correct",0.469659800000954
"P147",-0.31,"invalid",58,"exhale","correct",0.548836600006325
"P147",0.31,"invalid",59,"exhale","correct",0.648081899998942
"P147",10,"catch",0,"inhale","correct",NA
"P147",10,"catch",1,"inhale","correct",NA
"P147",0.31,"invalid",2,"inhale","correct",0.432853899998008
"P147",0.31,"invalid",3,"inhale","correct",0.460966099999496
"P147",-0.31,"valid",4,"inhale","correct",0.461019399997895
"P147",-0.31,"invalid",5,"inhale","correct",0.599715600008494
"P147",0.31,"valid",6,"inhale","correct",0.322252800004208
"P147",-0.31,"invalid",7,"inhale","correct",0.457769400003599
"P147",-0.31,"valid",8,"inhale","correct",0.505690199992387
"P147",-0.31,"invalid",9,"inhale","correct",0.37290529999882
"P147",0.31,"invalid",10,"inhale","correct",0.483939800004009
