"participant_ID","target_y","validity","trial","phase","response","rt"
"P128",10,"catch",0,"exhale","correct",NA
"P128",10,"catch",1,"exhale","correct",NA
"P128",0.31,"invalid",2,"exhale","correct",0.385288599994965
"P128",0.31,"invalid",3,"exhale","correct",0.392966900020838
"P128",-0.31,"valid",4,"exhale","correct",0.361397899920121
"P128",-0.31,"invalid",5,"exhale","correct",0.423498700023629
"P128",0.31,"valid",6,"exhale","correct",0.203567699994892
"P128",-0.31,"invalid",7,"exhale","correct",0.369640600052662
"P128",-0.31,"valid",8,"exhale","correct",0.389914399944246
"P128",-0.31,"invalid",9,"exhale","correct",0.341299699968658
"P128",0.31,"invalid",10,"exhale","correct",0.329738600063138
"P128",-0.31,"invalid",11,"exhale","correct",0.377952400012873
"P128",0.31,"valid",12,"exhale","correct",0.294741100049578
"P128",10,"catch",13,"exhale","incorrect",0.29955599992536
"P128",-0.31,"invalid",14,"exhale","correct",0.428660400095396
"P128",-0.31,"valid",15,"exhale","correct",0.432625400018878
"P128",10,"catch",16,"exhale","correct",NA
"P128",10,"catch",17,"exhale","correct",NA
"P128",0.31,"invalid",18,"exhale","correct",0.397956799948588
"P128",10,"catch",19,"exhale","correct",NA
"P128",0.31,"invalid",20,"exhale","correct",0.420778399915434
"P128",-0.31,"valid",21,"exhale","correct",0.424093799898401
"P128",0.31,"valid",22,"exhale","correct",0.3432473000139
"P128",-0.31,"invalid",23,"exhale","correct",0.373089400003664
"P128",0.31,"valid",24,"exhale","correct",0.466308000031859
"P128",-0.31,"invalid",25,"exhale","correct",0.346552300034091
"P128",-0.31,"valid",26,"exhale","correct",0.38688920007553
"P128",0.31,"valid",27,"exhale","correct",0.312350799911655
"P128",10,"catch",28,"exhale","correct",NA
"P128",0.31,"valid",29,"exhale","correct",0.357478199992329
"P128",0.31,"valid",30,"exhale","correct",0.355655999970622
"P128",-0.31,"valid",31,"exhale","correct",0.408104700036347
"P128",0.31,"valid",32,"exhale","correct",0.343690400011837
"P128",-0.31,"invalid",33,"exhale","correct",0.344289799919352
"P128",10,"catch",34,"exhale","correct",NA
"P128",0.31,"valid",35,"exhale","correct",0.369610899942927
"P128",-0.31,"invalid",36,"exhale","correct",0.365408699959517
"P128",0.31,"invalid",37,"exhale","correct",0.300254700006917
"P128",0.31,"invalid",38,"exhale","correct",0.298491499968804
"P128",0.31,"valid",39,"exhale","correct",0.336228500003926
"P128",0.31,"invalid",40,"exhale","correct",0.399149400065653
"P128",10,"catch",41,"exhale","correct",NA
"P128",-0.31,"valid",42,"exhale","correct",0.365628400002606
"P128",10,"catch",43,"exhale","correct",NA
"P128",0.31,"invalid",44,"exhale","correct",0.310447699972428
"P128",0.31,"invalid",45,"exhale","correct",0.337752099963836
"P128",0.31,"valid",46,"exhale","correct",0.302860099938698
"P128",-0.31,"valid",47,"exhale","correct",0.316023199935444
"P128",-0.31,"invalid",48,"exhale","correct",0.306612799991854
"P128",10,"catch",49,"exhale","correct",NA
"P128",-0.31,"valid",50,"exhale","correct",0.391513900016434
"P128",-0.31,"valid",51,"exhale","correct",0.322599199949764
"P128",-0.31,"invalid",52,"exhale","correct",0.368616499938071
"P128",-0.31,"valid",53,"exhale","correct",0.320468899910338
"P128",10,"catch",54,"exhale","correct",NA
"P128",0.31,"invalid",55,"exhale","correct",0.284719099989161
"P128",-0.31,"valid",56,"exhale","correct",0.375364799983799
"P128",0.31,"valid",57,"exhale","correct",0.365084000048228
"P128",-0.31,"invalid",58,"exhale","correct",0.395930300001055
"P128",0.31,"invalid",59,"exhale","correct",0.359195800032467
"P128",10,"catch",0,"inhale","correct",NA
"P128",10,"catch",1,"inhale","correct",NA
"P128",0.31,"invalid",2,"inhale","correct",0.382008200045675
"P128",0.31,"invalid",3,"inhale","correct",0.418521900079213
"P128",-0.31,"valid",4,"inhale","correct",0.374395099934191
"P128",-0.31,"invalid",5,"inhale","correct",0.352197000058368
"P128",0.31,"valid",6,"inhale","correct",0.361141100060195
"P128",-0.31,"invalid",7,"inhale","correct",0.35899670002982
"P128",-0.31,"valid",8,"inhale","correct",0.363467200077139
"P128",-0.31,"invalid",9,"inhale","correct",0.329129399964586
"P128",0.31,"invalid",10,"inhale","correct",0.330051499884576
"P128",-0.31,"invalid",11,"inhale","correct",0.304762999992818
"P128",0.31,"valid",12,"inhale","correct",0.377403100021183
"P128",10,"catch",13,"inhale","correct",NA
"P128",-0.31,"invalid",14,"inhale","correct",0.311897900071926
"P128",-0.31,"valid",15,"inhale","correct",0.264648900018074
"P128",10,"catch",16,"inhale","incorrect",0.26932239998132
"P128",10,"catch",17,"inhale","correct",NA
