"participant_ID","target_y","validity","trial","phase","response","rt"
"P127",10,"catch",0,"exhale","correct",NA
"P127",10,"catch",1,"exhale","correct",NA
"P127",0.31,"invalid",2,"exhale","correct",0.44919229997322
"P127",0.31,"invalid",3,"exhale","correct",0.488603700068779
"P127",-0.31,"valid",4,"exhale","correct",0.418742000008933
"P127",-0.31,"invalid",5,"exhale","correct",0.530738099943846
"P127",0.31,"valid",6,"exhale","correct",0.396989500033669
"P127",-0.31,"invalid",7,"exhale","correct",0.65710539999418
"P127",-0.31,"valid",8,"exhale","correct",0.434667100082152
"P127",-0.31,"invalid",9,"exhale","correct",0.427949299919419
"P127",0.31,"invalid",10,"exhale","correct",0.429475399898365
"P127",-0.31,"invalid",11,"exhale","correct",0.488240199978463
"P127",0.31,"valid",12,"exhale","correct",0.431458699982613
"P127",10,"catch",13,"exhale","correct",NA
"P127",-0.31,"invalid",14,"exhale","correct",0.514097300008871
"P127",-0.31,"valid",15,"exhale","correct",0.43094160000328
"P127",10,"catch",16,"exhale","correct",NA
"P127",10,"catch",17,"exhale","correct",NA
"P127",0.31,"invalid",18,"exhale","correct",0.592287800041959
"P127",10,"catch",19,"exhale","correct",NA
"P127",0.31,"invalid",20,"exhale","correct",0.615184199996293
"P127",-0.31,"valid",21,"exhale","correct",0.449225299991667
"P127",0.31,"valid",22,"exhale","correct",0.573117200052366
"P127",-0.31,"invalid",23,"exhale","correct",0.52900540002156
"P127",0.31,"valid",24,"exhale","correct",0.426849499926902
"P127",-0.31,"invalid",25,"exhale","correct",0.480213699978776
"P127",-0.31,"valid",26,"exhale","correct",0.444190799957141
"P127",0.31,"valid",27,"exhale","correct",0.446076799998991
"P127",10,"catch",28,"exhale","correct",NA
"P127",0.31,"valid",29,"exhale","correct",0.463672299985774
"P127",0.31,"valid",30,"exhale","correct",0.510062900022604
"P127",-0.31,"valid",31,"exhale","correct",0.432310600066558
"P127",0.31,"valid",32,"exhale","correct",0.489465799997561
"P127",-0.31,"invalid",33,"exhale","correct",0.543790800031275
"P127",10,"catch",34,"exhale","correct",NA
"P127",0.31,"valid",35,"exhale","correct",0.402812100015581
"P127",-0.31,"invalid",36,"exhale","correct",0.574372199946083
"P127",0.31,"invalid",37,"exhale","correct",0.44722999993246
"P127",0.31,"invalid",38,"exhale","correct",0.484855100046843
"P127",0.31,"valid",39,"exhale","correct",0.462630500085652
"P127",0.31,"invalid",40,"exhale","correct",0.453907699906267
"P127",10,"catch",41,"exhale","correct",NA
"P127",-0.31,"valid",42,"exhale","correct",0.431436500046402
"P127",10,"catch",43,"exhale","correct",NA
"P127",0.31,"invalid",44,"exhale","correct",0.550383399939165
"P127",0.31,"invalid",45,"exhale","correct",0.37638849997893
"P127",0.31,"valid",46,"exhale","correct",0.516732800053433
"P127",-0.31,"valid",47,"exhale","correct",0.396283500012942
"P127",-0.31,"invalid",48,"exhale","correct",0.389584299991839
"P127",10,"catch",49,"exhale","correct",NA
"P127",-0.31,"valid",50,"exhale","correct",0.470436600036919
"P127",-0.31,"valid",51,"exhale","correct",0.441373900044709
"P127",-0.31,"invalid",52,"exhale","correct",0.529930599965155
"P127",-0.31,"valid",53,"exhale","correct",0.477537599974312
"P127",10,"catch",54,"exhale","correct",NA
"P127",0.31,"invalid",55,"exhale","correct",0.539432000019588
"P127",-0.31,"valid",56,"exhale","correct",0.627103800070472
"P127",0.31,"valid",57,"exhale","correct",0.501468000002205
"P127",-0.31,"invalid",58,"exhale","correct",0.479133100016043
"P127",0.31,"invalid",59,"exhale","correct",0.335914600058459
