"participant_ID","target_y","validity","trial","phase","response","rt"
"P144",10,"catch",0,"exhale","correct",NA
"P144",10,"catch",1,"exhale","correct",NA
"P144",0.31,"invalid",2,"exhale","correct",0.437036200000875
"P144",0.31,"invalid",3,"exhale","correct",0.494138300000486
"P144",-0.31,"valid",4,"exhale","correct",0.411268100000598
"P144",-0.31,"invalid",5,"exhale","correct",0.429426600001534
"P144",0.31,"valid",6,"exhale","correct",0.468370599999616
"P144",-0.31,"invalid",7,"exhale","correct",0.402584699999352
"P144",-0.31,"valid",8,"exhale","correct",0.463014200000543
"P144",-0.31,"invalid",9,"exhale","correct",0.463965599999938
"P144",0.31,"invalid",10,"exhale","correct",0.477391400001579
"P144",-0.31,"invalid",11,"exhale","correct",0.507235099999889
"P144",0.31,"valid",12,"exhale","correct",0.516172499999811
"P144",10,"catch",13,"exhale","correct",NA
"P144",-0.31,"invalid",14,"exhale","correct",0.495618199998717
"P144",-0.31,"valid",15,"exhale","correct",0.981136700000206
"P144",10,"catch",16,"exhale","correct",NA
"P144",10,"catch",17,"exhale","correct",NA
"P144",0.31,"invalid",18,"exhale","correct",0.388683799999853
"P144",10,"catch",19,"exhale","correct",NA
"P144",0.31,"invalid",20,"exhale","correct",0.413343799998984
"P144",-0.31,"valid",21,"exhale","correct",0.516776000000391
"P144",0.31,"valid",22,"exhale","correct",0.432413700000325
"P144",-0.31,"invalid",23,"exhale","correct",0.428411200000482
"P144",0.31,"valid",24,"exhale","correct",0.478723599999284
"P144",-0.31,"invalid",25,"exhale","correct",0.416495100000247
"P144",-0.31,"valid",26,"exhale","correct",0.396962500000882
"P144",0.31,"valid",27,"exhale","correct",0.528264299999137
"P144",10,"catch",28,"exhale","correct",NA
"P144",0.31,"valid",29,"exhale","correct",0.424946799999816
"P144",0.31,"valid",30,"exhale","correct",0.417915599999105
"P144",-0.31,"valid",31,"exhale","correct",0.485257700000147
"P144",0.31,"valid",32,"exhale","correct",0.422260800000004
"P144",-0.31,"invalid",33,"exhale","correct",0.377134799999112
"P144",10,"catch",34,"exhale","correct",NA
"P144",0.31,"valid",35,"exhale","correct",0.409996000000319
"P144",-0.31,"invalid",36,"exhale","correct",0.437828099999024
"P144",0.31,"invalid",37,"exhale","correct",0.484994700000243
"P144",0.31,"invalid",38,"exhale","correct",0.442151999999624
"P144",0.31,"valid",39,"exhale","correct",0.488624300000083
"P144",0.31,"invalid",40,"exhale","correct",0.514869600001475
"P144",10,"catch",41,"exhale","correct",NA
"P144",-0.31,"valid",42,"exhale","correct",0.400104299998929
"P144",10,"catch",43,"exhale","correct",NA
"P144",0.31,"invalid",44,"exhale","correct",0.378702399999383
"P144",0.31,"invalid",45,"exhale","correct",0.508996099999422
"P144",0.31,"valid",46,"exhale","correct",0.460251799999241
"P144",-0.31,"valid",47,"exhale","correct",0.373654500001066
"P144",-0.31,"invalid",48,"exhale","correct",0.377774900000077
"P144",10,"catch",49,"exhale","correct",NA
"P144",-0.31,"valid",50,"exhale","correct",0.460787300000447
"P144",-0.31,"valid",51,"exhale","correct",0.407945599999948
"P144",-0.31,"invalid",52,"exhale","correct",0.356965099999798
"P144",-0.31,"valid",53,"exhale","correct",0.445613600000797
"P144",10,"catch",54,"exhale","correct",NA
